Subject	Block	NumRules	Rules	Logic	Problem	Choice	Accuracy
13014	1	2	Low	Non-Logic	12698	4000	0
13014	1	3	High	Logic	13070	4000	0
13014	1	1	Low	Logic	7427	1862	0
13014	1	4	High	Non-Logic	8113	4000	0
13014	1	3	High	Logic	6891	2163	1
13014	1	4	High	Non-Logic	12389	4000	0
13014	1	1	Low	Non-Logic	2843	1209	1
13014	1	1	Low	Logic	8104	1883	0
13014	2	2	Low	Logic	7781	2747	1
13014	2	1	Low	Non-Logic	3773	1163	1
13014	2	3	High	Non-Logic	11642	2475	0
13014	2	4	High	Logic	13486	4000	0
13014	2	3	High	Non-Logic	6911	2737	1
13014	2	2	Low	Logic	8071	2245	0
13014	2	4	High	Logic	13490	2500	0
13014	2	2	Low	Non-Logic	5376	1756	1
13015	1	1	Low	Non-Logic	3926	1468	1
13015	1	4	High	Logic	8954	2263	0
13015	1	1	Low	Logic	4932	2663	0
13015	1	4	High	Non-Logic	4456	1987	1
13015	1	4	High	Logic	4499	1275	0
13015	1	3	High	Non-Logic	6506	2069	0
13015	1	2	Low	Non-Logic	7104	2518	1
13015	1	1	Low	Logic	7557	2593	1
13015	2	2	Low	Logic	11980	2934	0
13015	2	1	Low	Non-Logic	6999	2343	1
13015	2	3	High	Non-Logic	9716	4000	0
13015	2	3	High	Logic	10295	2381	0
13015	2	4	High	Non-Logic	10716	4000	0
13015	2	2	Low	Logic	4012	1278	0
13015	2	3	High	Logic	6028	2565	0
13015	2	2	Low	Non-Logic	4341	1077	1
13016	1	1	Low	Non-Logic	6555	1695	1
13016	1	4	High	Logic	20067	4000	0
13016	1	1	Low	Logic	18787	4000	0
13016	1	4	High	Non-Logic	21864	2712	1
13016	1	3	High	Logic	30000	2701	0
13016	1	3	High	Non-Logic	23659	4000	0
13016	1	1	Low	Non-Logic	7569	1614	0
13016	1	1	Low	Logic	10735	1101	1
13016	2	2	Low	Logic	30000	2599	0
13016	2	2	Low	Non-Logic	9824	1189	1
13016	2	4	High	Non-Logic	8401	1895	0
13016	2	4	High	Logic	25489	2980	0
13016	2	3	High	Non-Logic	13063	2055	0
13016	2	2	Low	Logic	9949	1026	0
13016	2	3	High	Logic	12030	4000	0
13016	2	2	Low	Non-Logic	9908	1726	0
13017	1	1	Low	Non-Logic	12326	2968	1
13017	1	4	High	Logic	15254	4000	0
13017	1	2	Low	Logic	14192	2134	0
13017	1	3	High	Non-Logic	13664	2623	1
13017	1	3	High	Logic	18052	2910	1
13017	1	3	High	Non-Logic	10432	4000	0
13017	1	2	Low	Non-Logic	15507	1635	1
13017	1	1	Low	Logic	18531	1590	0
13017	2	2	Low	Logic	15458	1468	0
13017	2	1	Low	Non-Logic	30000	2720	0
13017	2	4	High	Non-Logic	8888	2416	0
13017	2	4	High	Logic	30000	1858	1
13017	2	4	High	Non-Logic	24899	2320	0
13017	2	1	Low	Logic	21812	1162	1
13017	2	3	High	Logic	22667	2315	1
13017	2	2	Low	Non-Logic	13850	1731	1
13018	1	2	Low	Non-Logic	8976	1966	1
13018	1	4	High	Logic	14773	1972	0
13018	1	1	Low	Logic	13276	2568	0
13018	1	4	High	Non-Logic	10748	2793	1
13018	1	4	High	Logic	14507	2833	0
13018	1	4	High	Non-Logic	18761	2494	0
13018	1	1	Low	Non-Logic	5582	1297	1
13018	1	2	Low	Logic	17403	1789	0
13018	2	1	Low	Logic	20992	1536	0
13018	2	2	Low	Non-Logic	6453	1434	1
13018	2	3	High	Non-Logic	11351	1491	1
13018	2	3	High	Logic	7476	4000	0
13018	2	3	High	Non-Logic	20192	1830	1
13018	2	2	Low	Logic	18225	1706	0
13018	2	3	High	Logic	21678	1024	0
13018	2	1	Low	Non-Logic	7642	2239	0
13019	1	2	Low	Non-Logic	6379	2670	0
13019	1	3	High	Logic	10046	4000	0
13019	1	2	Low	Logic	10145	2348	1
13019	1	3	High	Non-Logic	8872	2147	1
13019	1	4	High	Logic	5666	2351	0
13019	1	3	High	Non-Logic	11002	2135	0
13019	1	1	Low	Non-Logic	4274	1302	0
13019	1	2	Low	Logic	10565	2372	0
13019	2	1	Low	Logic	23682	1837	0
13019	2	2	Low	Non-Logic	20678	2141	1
13019	2	4	High	Non-Logic	23854	1793	1
13019	2	3	High	Logic	30000	2437	0
13019	2	4	High	Non-Logic	6255	4000	0
13019	2	1	Low	Logic	20976	2695	0
13019	2	4	High	Logic	22727	2528	0
13019	2	1	Low	Non-Logic	6083	1620	0
13020	1	1	Low	Non-Logic	14906	1970	1
13020	1	3	High	Logic	30000	2864	0
13020	1	2	Low	Logic	18421	1272	1
13020	1	3	High	Non-Logic	22670	1553	0
13020	1	3	High	Logic	19312	4000	0
13020	1	3	High	Non-Logic	29235	1926	0
13020	1	2	Low	Non-Logic	6685	1340	1
13020	1	1	Low	Logic	9491	1238	1
13020	2	1	Low	Logic	9542	989	0
13020	2	1	Low	Non-Logic	9921	1648	1
13020	2	4	High	Non-Logic	25860	1403	1
13020	2	4	High	Logic	30000	1246	0
13020	2	4	High	Non-Logic	30000	1159	1
13020	2	2	Low	Logic	30000	1643	0
13020	2	4	High	Logic	30000	1808	0
13020	2	2	Low	Non-Logic	5754	1406	1
13021	1	2	Low	Non-Logic	7216	2023	1
13021	1	3	High	Logic	8101	4000	0
13021	1	1	Low	Logic	18653	1629	0
13021	1	3	High	Non-Logic	15340	4000	0
13021	1	4	High	Logic	10558	1450	0
13021	1	4	High	Non-Logic	15906	4000	0
13021	1	1	Low	Non-Logic	7623	4000	0
13021	1	2	Low	Logic	8390	1298	1
13021	2	2	Low	Logic	7261	553	0
13021	2	2	Low	Non-Logic	99	4000	0
13022	1	2	Low	Non-Logic	13306	4000	0
13022	1	4	High	Logic	16277	2380	1
13022	1	1	Low	Logic	18499	2001	0
13022	1	3	High	Non-Logic	14899	1258	0
13022	1	4	High	Logic	24845	2129	0
13022	1	4	High	Non-Logic	30000	1530	1
13022	1	1	Low	Non-Logic	11118	1169	1
13022	1	1	Low	Logic	21971	1685	0
13022	2	2	Low	Logic	26564	4000	0
13022	2	1	Low	Non-Logic	15628	1355	1
13022	2	3	High	Non-Logic	30000	1928	0
13022	2	3	High	Logic	12452	1919	1
13022	2	4	High	Non-Logic	18873	2192	1
13022	2	2	Low	Logic	30000	2167	0
13022	2	3	High	Logic	24642	1811	1
13022	2	2	Low	Non-Logic	11109	4000	0
13023	1	1	Low	Non-Logic	19038	2003	1
13023	1	3	High	Logic	30000	4000	0
13023	1	1	Low	Logic	30000	4000	0
13023	1	4	High	Non-Logic	14676	2322	1
13023	1	4	High	Logic	30000	2027	0
13023	1	3	High	Non-Logic	30000	4000	0
13023	1	1	Low	Non-Logic	8195	2172	1
13023	1	1	Low	Logic	30000	2027	0
13023	2	2	Low	Logic	21608	4000	0
13023	2	2	Low	Non-Logic	11011	1468	1
13023	2	4	High	Non-Logic	20111	2495	1
13023	2	4	High	Logic	30000	1535	0
13023	2	3	High	Non-Logic	17536	1868	1
13023	2	2	Low	Logic	19470	1346	1
13023	2	3	High	Logic	15688	4000	0
13023	2	2	Low	Non-Logic	7986	1975	1
13024	1	2	Low	Non-Logic	9484	2879	1
13024	1	3	High	Logic	19331	4000	0
13024	1	1	Low	Logic	11397	4000	0
13024	1	4	High	Non-Logic	8737	2889	0
13024	1	3	High	Logic	8823	4000	0
13024	1	4	High	Non-Logic	25599	1845	0
13024	1	1	Low	Non-Logic	9199	1828	0
13024	1	1	Low	Logic	11596	1500	0
13024	2	2	Low	Logic	30000	2072	0
13024	2	2	Low	Non-Logic	16029	1421	1
13024	2	3	High	Non-Logic	30000	4000	0
13024	2	4	High	Logic	30000	2029	1
13024	2	3	High	Non-Logic	13844	2916	1
13024	2	2	Low	Logic	19490	1260	0
13024	2	4	High	Logic	30000	1915	0
13024	2	1	Low	Non-Logic	5008	1527	1
13025	1	1	Low	Non-Logic	12965	1453	1
13025	1	4	High	Logic	26885	2335	0
13025	1	1	Low	Logic	29564	4000	0
13025	1	3	High	Non-Logic	18364	1555	1
13025	1	3	High	Logic	30000	1300	0
13025	1	4	High	Non-Logic	21055	1246	1
13025	1	2	Low	Non-Logic	30000	2031	0
13025	1	1	Low	Logic	25696	1613	1
13025	2	2	Low	Logic	12575	1595	1
13025	2	2	Low	Non-Logic	15793	1783	1
13025	2	3	High	Non-Logic	30000	1735	0
13025	2	4	High	Logic	30000	2105	0
13025	2	4	High	Non-Logic	30000	2350	1
13025	2	2	Low	Logic	30000	2302	0
13025	2	3	High	Logic	21656	2300	1
13025	2	1	Low	Non-Logic	12303	1997	1
13026	1	1	Low	Non-Logic	5241	4000	0
13026	1	4	High	Logic	7802	1910	0
13026	1	2	Low	Logic	7731	1558	0
13026	1	3	High	Non-Logic	10161	2653	0
13026	1	3	High	Logic	9834	4000	0
13026	1	4	High	Non-Logic	8392	1955	0
13026	1	2	Low	Non-Logic	5742	1996	0
13026	1	2	Low	Logic	8227	1960	0
13026	2	1	Low	Logic	10779	1039	1
13026	2	2	Low	Non-Logic	7924	1655	0
13026	2	3	High	Non-Logic	13959	1571	1
13026	2	4	High	Logic	16125	2820	0
13026	2	4	High	Non-Logic	9252	2451	0
13026	2	1	Low	Logic	11473	1447	0
13026	2	3	High	Logic	8705	2905	1
13026	2	1	Low	Non-Logic	5369	1339	1
13027	1	2	Low	Non-Logic	18434	4000	0
13027	1	3	High	Logic	19344	1775	0
13027	1	2	Low	Logic	26166	2100	1
13027	1	4	High	Non-Logic	25847	2085	1
13027	1	3	High	Logic	26703	1784	0
13027	1	3	High	Non-Logic	30000	2389	0
13027	1	1	Low	Non-Logic	13404	1397	1
13027	1	1	Low	Logic	8843	4000	0
13027	2	1	Low	Logic	24319	1057	1
13027	2	1	Low	Non-Logic	10129	1167	0
13027	2	4	High	Non-Logic	22251	1391	1
13027	2	4	High	Logic	26103	2804	0
13027	2	3	High	Non-Logic	15031	1412	1
13027	2	2	Low	Logic	30000	2251	0
13027	2	4	High	Logic	26058	2475	0
13027	2	2	Low	Non-Logic	8565	2234	1
13029	1	2	Low	Non-Logic	30000	1763	0
13029	1	3	High	Logic	30000	1830	0
13029	1	2	Low	Logic	22332	1562	1
13029	1	3	High	Non-Logic	30000	4000	0
13029	1	4	High	Logic	27459	2578	0
13029	1	3	High	Non-Logic	24599	1360	1
13029	1	1	Low	Non-Logic	27791	1824	1
13029	1	2	Low	Logic	30000	2603	0
13029	2	1	Low	Logic	15886	1273	0
13029	2	2	Low	Non-Logic	17885	2232	1
13029	2	4	High	Non-Logic	30000	2012	1
13029	2	4	High	Logic	30000	1704	1
13029	2	4	High	Non-Logic	30000	2203	1
13029	2	1	Low	Logic	30000	1908	1
13029	2	3	High	Logic	30000	4000	0
13029	2	1	Low	Non-Logic	10168	1538	1
13030	1	1	Low	Non-Logic	13773	1763	1
13030	1	3	High	Logic	30000	4000	0
13030	1	2	Low	Logic	16730	2738	1
13030	1	4	High	Non-Logic	19873	1509	1
13030	1	4	High	Logic	30000	1916	0
13030	1	3	High	Non-Logic	30000	4000	0
13030	1	2	Low	Non-Logic	10223	2060	1
13030	1	1	Low	Logic	18810	4000	0
13030	2	2	Low	Logic	30000	2985	0
13030	2	1	Low	Non-Logic	7421	1075	1
13030	2	3	High	Non-Logic	19584	2301	1
13030	2	4	High	Logic	22205	1302	0
13030	2	4	High	Non-Logic	22670	1786	1
13030	2	1	Low	Logic	23402	1642	0
13030	2	3	High	Logic	30000	1278	0
13030	2	2	Low	Non-Logic	17504	1396	0
